用例编号,所属产品,所属模块,用例标题,前置条件,步骤,预期,结果,由谁创建,创建日期,修改日期
9645,WordPress(#13),外观(#288),删除菜单,位于主题栏下，菜单页面，存在菜单,"1. 选择要编辑的菜单
2. 点击选择
3. 点击删除菜单
4. 点击弹框中确定按钮
","1. 
2. 编辑区变为选择的菜单
3. 弹出询问是否删除弹框
4. 题目下方显示菜单已被成功删除
",通过,沈梦琪,2018/11/28,2018/11/30
9641,WordPress(#13),内容发布模块(#230),验证添加目录时别名中包括非法字符是否可以成功,"已登录，用户角色为管理员或编辑
","1. 点击文章——点击分类目录——输入名称：12，输入别名：admin$——点击添加新分类目录
2. 点击文章——点击分类目录——输入名称：12，输入别名：123@——点击添加新分类目录
","1. 添加失败，提示错误信息：别名只能包含字母，数字和连字符（-）
2. 添加失败，提示错误信息：别名只能包含字母，数字和连字符（-）
",通过,史素佳,2018/11/28,0000-00-00
9639,WordPress(#13),外观(#288),编辑菜单,位于主题栏下，菜单页面，存在菜单,"1. 菜单数量大于1
1.1. 选择要编辑的菜单
1.2. 点击选择
1.3. 编辑修改
1.4. 点击保存菜单
2. 菜单数目为1
2.1. 选择要编辑的菜单
2.2. 点击选择
2.3. 编辑修改
2.4. 点击保存菜单
","1. 
1.1. 
1.2. 编辑区变为选择的菜单
1.3. 
1.4. 题目下方显示菜单已被更新
2. 
2.1. 
2.2. 编辑区变为选择的菜单
2.3. 
2.4. 题目下方显示菜单已被更新
",通过,沈梦琪,2018/11/28,2018/12/4
9634,WordPress(#13),卢丹琦(#222),分类目录的搜索,登录且进入“分类目录”界面,"1. 在右侧搜索栏中输入完整目录名称，点击“搜索分类目录”按钮
2. 在右侧搜索栏中输入部分目录名称，点击“搜索分类目录”按钮
3. 在右侧搜索栏中输入不存在的目录名称，点击“搜索分类目录”按钮
","1. 出现本名称的目录
2. 出现目录中含有搜索字符的目录
3. 提示：未找到分类。
",通过,卢丹琦,2018/11/28,0000-00-00
9633,WordPress(#13),外观(#288),创建新菜单,位于主题栏下，菜单页面,"1. 成功创建菜单
1.1. 单击创建新菜单连接
1.2. 输入菜单名称为“菜单test1”
1.3. 点击创建菜单
2. 创建名称为空的新菜单
2.1. 单击创建新菜单连接
2.2. 不输入菜单名称
2.3. 点击创建菜单
3. 新建菜单，名称为空格
3.1. 单击创建新菜单连接
3.2. 输入菜单名称为空格
3.3. 点击创建菜单
","1. 
1.1. 
1.2. 
1.3. 新菜单创建成功
2. 
2.1. 
2.2. 
2.3. 新菜单创建失败，名称栏标红
3. 
3.1. 
3.2. 
3.3. 新菜单创建失败，名称栏标红
",通过,沈梦琪,2018/11/28,2018/12/11
9629,WordPress(#13),内容发布模块(#230),验证添加分类目录时名称以及别名是否可以为空,"已登录，用户角色为管理员或编辑
","1. 点击文章——点击分类目录——不输入名称，输入别名：life——点击添加新分类目录
2. 点击文章——点击分类目录——不输入名称，不输入别名——点击添加新分类目录
3. 点击文章——点击分类目录——输入名称：123，不输入别名——点击添加新分类目录
","1. 添加失败，提示错误信息：目录名称不能为空
2. 添加失败，提示错误信息：目录名称不能为空
3. 添加成功
",通过,史素佳,2018/11/28,2018/11/28
9627,WordPress(#13),卢丹琦(#222),文章的搜索,"登录且进入“所有文章”页面
","1. 在右侧搜索栏中输入完整标题，点击“搜索文章”按钮
2. 在右侧搜索栏中输入标题的一部分，点击“搜索文章”按钮
3. 在右侧搜索栏中输入不存在的标题，点击“搜索文章”按钮
","1. 页面出现所要搜索的文章
2. 页面出现包含此关键字的文章
3. 提示：未找到文章。
",失败,卢丹琦,2018/11/28,2018/12/11
9617,WordPress(#13),内容发布模块(#230),添加目录时使用已被使用的别名,已登录，用户角色为管理员或编辑，别名已经被使用,"1. 点击文章——点击分类目录——输入名称：生活吧1，别名：life——点击添加新分类目录
2. 点击文章——点击分类目录
2.1. 输入名称：生活吧1，别名：life——父级分类目录更改为电影，电影的别名为aboutmovie——点击添加新分类目录
2.2. 输入名称：生活吧2，别名：life——父级分类目录更改为电影——点击添加新分类目录
2.3. 点击刷新页面
","1. 添加失败，提示错误信息：此别名“life”已被其他项目使用。
2. 
2.1. 添加成功，右侧显示别名为life-aboutmovie
2.2. 添加失败，提示错误信息：此别名“life”已被其他项目使用。
2.3. 添加别名相同的目录失败
",通过,史素佳,2018/11/28,2018/12/11
9610,WordPress(#13),文章模块(#273),测试对回收站中文章操作,登录成功，进入文章模块，进入回收站，回收站中至少有一篇文章,"1. 鼠标滑到要操作的文章，点击还原
2. 鼠标滑到要操作的文章，点击永久删除
","1. 文章被移出回收站
2. 文章永久删除
",通过,刘江,2018/11/28,2018/12/11
9596,WordPress(#13),外观(#288),小工具的增删改查,位于主题栏下，小工具页面，启用无障碍模式,"1. 添加小工具
1.1. 在可用小工具处，点击要添加的小工具旁的添加链接
1.2. 点击保存小工具按钮
2. 删除小工具
2.1. 在侧边栏处，点击要删除的小工具旁的编辑链接
2.2. 点击删除按钮
3. 编辑小工具
3.1. 选择小工具：“搜索”，点击旁边的编辑链接
3.2. 输入标题：“测试搜索”，点击保存小工具按钮
","1. 
1.1. 页面跳转至小工具设置界面
1.2. 侧边栏出出现添加的小工具
提示：修改已保存
2. 
2.1. 页面跳转至小工具设置界面
2.2. 已删除的小工具不在侧边栏出现
提示：修改已保存。
3. 
3.1. 页面跳转至小工具设置界面
3.2. 提示：修改已保存
",阻塞,沈梦琪,2018/11/28,2018/12/11
9595,WordPress(#13),文章模块(#273),测试回收站快捷功能,登录成功，进入文章模块，进入回收站,"1. 点击清空回收站
","1. 回收站里的文章被永久删除
",通过,刘江,2018/11/28,2018/12/5
9507,WordPress(#13),文章模块(#273),文章模块，搜索框输入不完整的标题或者内容搜索,登录成功，进入文章模块，有一篇标题为test，内容为这是一篇文章的文章,"1. 输入不完整的文章标题，如te，点击搜索
2. 输入不完整的文章内容，如文章；点击搜索
","1. 搜索出有该字符的文章，如test
2. 搜索出有该内容的文章，如test
",通过,刘江,2018/11/28,2018/12/11
9505,WordPress(#13),文章模块(#273),文章模块，搜索框输入文章其他信息搜索,登录成功，进入文章模块，有多篇作者是admin的文章,"1. 输入作者名称admin，点击搜索
2. 输入分类目录，点击搜索
3. 输入标签，点击搜索
4. 输入日期，点击搜索
","1. 搜索失败，提示未找到文章
2. 搜索失败，提示未找到文章
3. 搜索失败，提示未找到文章
4. 搜索失败，提示未找到文章
",通过,刘江,2018/11/28,2018/12/11
9493,WordPress(#13),文章模块(#273),文章模块，搜索框输入标题或者内容搜索,登录成功，进入文章模块，有一篇文章标题为test的文章,"1. 搜索文章标题test
2. 搜索文章内容
","1. 搜索出标题为test的已发布文章和草稿
2. 搜索出有该内容的已发布文章和草稿
",通过,刘江,2018/11/28,2018/12/11
9487,WordPress(#13),内容发布模块(#230),添加已存在的分类目录,已登录，用户角色为管理员或编辑，目录已存在,"1. 点击文章——点击分类目录——输入名称：生活吧，别名：life——选择父级分类目录为无——点击添加新分类目录
2. 点击文章——点击分类目录——输入名称：生活吧，别名：123——选择父级分类目录为电影——点击添加新分类目录
","1. 添加失败，提示错误信息：父项目中已存在同名项目。
2. 添加成功
",通过,史素佳,2018/11/28,2018/11/28
9485,WordPress(#13),文章模块(#273),测试对已发布文章的操作,登录成功，进入文章模块，点击已发布文章分类，已发布文章分类下至少有一篇文章,"1. 滑到你要操作的已完成文章，点击编辑
2. 滑到你要操作的已完成文章，点击快速编辑
3. 滑到你要操作的已完成文章，点击移至回收站
4. 滑到你要操作的已完成文章，点击查看
","1. 跳转到编辑文章界面
2. 打开快速编辑界面
3. 将该文章移至回收站
4. 跳转到发布页面
",通过,刘江,2018/11/28,2018/12/11
9484,WordPress(#13),内容发布模块(#230),添加分类目录成功,已登录，用户角色为管理员或者编辑,"1. 点击文章——点击分类目录——输入名称：生活吧，别名：life——点击添加新分类目录

2. 点击文章——点击分类目录——输入名称：生活吧1，别名：life——父级分类目录选择生活吧，生活吧的别名是life——点击添加新分类目录
3. 点击文章——点击分类目录——输入名称：生活吧2，别名：2——父级分类目录选择生活吧，生活吧的别名是life——点击添加新分类目录
","1. 添加目录成功
2. 添加目录成功，别名为life-life
3. 添加目录成功，别名为2
",通过,史素佳,2018/11/28,2018/12/11
9472,WordPress(#13),文章模块(#273),测试对草稿文章的操作,登录成功，进入文章模块，选择草稿页面，草稿页面下至少有一篇文章,"1. 滑到你要操作的草稿文章，点击编辑
2. 滑到你要操作的草稿文章，点击快速编辑
3. 滑到你要操作的草稿文章，点击移至回收站
4. 滑到你要操作的草稿文章，点击预览
","1. 进入编辑文章界面
2. 进入快速编辑界面
3. 将该文章移至回收站，页面出现提示
4. 跳转到该文章发布后的界面
",通过,刘江,2018/11/28,2018/12/11
9467,WordPress(#13),自定义(#293),控制区控制功能是否有效,位于外观栏下，自定义页面,"1. 点击隐藏控制区
1.1. 点击隐藏控制区图片
1.2. 再次点击隐藏控制区图片
2. 点击控住区页面大小控制
2.1. 点击第一个图标
2.2. 点击第二个图标
2.3. 点击第三个图标
2.4. 点击第一个图标
","1. 
1.1. 控制区隐藏
1.2. 控制区恢复
2. 
2.1. 预览页面无变化
2.2. 进入平板预览模式
2.3. 进入移动预览模式
2.4. 预览页面变为默认
",失败,沈梦琪,2018/11/28,2018/12/11
9461,WordPress(#13),文章模块(#273),测试筛选功能,登录成功，进入文章模块,"1. 选择日期，选择分类目录，点击筛选
2. 选择日期，点击筛选
3. 选项分类目录，点击筛选
4. 不选择日期和分类目录，点击筛选
","1. 筛选出在该目录下，该日期完成的文章
2. 筛选出该日期的所有文章
3. 筛选出该分类目录下所有文章
4. 显示所有文章
",通过,刘江,2018/11/28,2018/12/5
9460,WordPress(#13),评论模块(#248),相同评论的测试,已有用户提交了一条这个文章不错的评论,"1. 更换另一个用户
2. 对同一篇文章发表一条这个文章不错的评论
","1. 不同的用户提交相同的评论可以评论成功
2. 
",通过,岳哲伟,2018/11/28,0000-00-00
9453,WordPress(#13),自定义(#293),超链接跳转是否正常,位于外观栏下，自定义页面,"1. 点击站点身份并返回
1.1. 点击站点身份
1.2. 点击返回按钮
2. 点击小工具并返回
2.1. 点击小工具
2.2. 点击返回按钮
3. 点击菜单并返回
3.1. 点击菜单
3.2. 点击返回按钮
","1. 
1.1. 页面跳转至自定义站点身份页面
1.2. 页面跳转至自定义页面
2. 
2.1. 页面跳转至自定义小工具页面
2.2. 页面跳转至自定义页面
3. 
3.1. 页面跳转至自定义菜单页面
3.2. 页面跳转至自定义页
",通过,沈梦琪,2018/11/28,2018/12/11
9434,WordPress(#13),页面模块(#247),新建页面时移至回收站,新建页面，输入一些页面内容,"1. 在新建并且输入了一些内容的页面
2. 不保存直接移至回收站
","1. 文章未保存无需移至回收站
2. 
",失败,岳哲伟,2018/11/28,0000-00-00
9426,WordPress(#13),媒体(#287),主题筛选功能是否有效,位于外观栏下，主题页面下的添加主题页面,"1. 点击热门对应的超链接
2. 点击最爱对应的超链接
3. 筛选条件为空是的筛选
3.1. 点击特性筛选按钮
3.2. 不选任何特性
3.3. 点击应用过滤器
4. 主题特性筛选
4.1. 点击特性筛选按钮
4.2. 选中主题中的一个特性
4.3. 点击应用过滤器
5. 特色特性筛选
5.1. 点击特性筛选按钮
5.2. 选中特色中的一个特性
5.3. 点击应用过滤器
6. 布局特性筛选
6.1. 点击特性筛选按钮
6.2. 选中布局中的一个特性
6.3. 点击应用过滤器
7. 多特性筛选
7.1. 点击特性筛选按钮
7.2. 选中主题中的一个特性
7.3. 选中特色中的一个特性
7.4. 选中布局中的一个特性
7.5. 点击应用过滤器
8. 清空按钮是否有效
8.1. 点击特性筛选按钮
8.2. 选中主题中的一个特性
8.3. 选中特色中的一个特性
8.4. 点击清空按钮
","1. 出现热门对应的主题
2. 出现最爱对应的主题
3. 
3.1. 出现待筛选的特性
3.2. 
3.3. 不出现任何主题
4. 
4.1. 出现待筛选的特性
4.2. 
4.3. 出现符合要求的主题
5. 
5.1. 出现待筛选的特性
5.2. 
5.3. 出现符合要求的主题
6. 
6.1. 出现待筛选的特性
6.2. 
6.3. 出现符合要求的主题
7. 
7.1. 出现待筛选的特性
7.2. 
7.3. 
7.4. 
7.5. 出现符合要求的主题
8. 
8.1. 出现待筛选的特性
8.2. 
8.3. 
8.4. 已选中特性清空
",通过,沈梦琪,2018/11/28,2018/12/11
9420,WordPress(#13),文章模块(#273),测试批量操作的功能,登录成功，进入文章模块,"1. 选中要操作的文章，选择文章上方批量操作选项中的编辑选项，点击应用
2. 选择要操作的文章，选择文章上方批量操作选项中的移至垃圾箱选项，点击应用
","1. 将选中的文章跳转到批量编辑界面
2. 将选择的文章移至垃圾箱
",通过,刘江,2018/11/28,2018/12/11
9417,WordPress(#13),页面模块(#247),新建页面时预览的测试,打开新建页面，一篇空的文章,"1. 不在文章中添加任何内容
2. 点击预览
","1. 文章内容为空无法预览
2. 
",失败,岳哲伟,2018/11/28,0000-00-00
9408,WordPress(#13),页面模块(#247),页面中创建页面时段落下拉菜单的测试,打开页面新建页面,"1. 点击段落打开下拉菜单
2. 点击预格式化
3. 再次打开下拉菜单点击预格式化
","1. 选择的是预格式化
2. 
3. 
",失败,岳哲伟,2018/11/28,0000-00-00
9405,WordPress(#13),用户模块(#229),验证编辑用户的公开显示功能,admin用户已登录,"1. 点击用户——点击我的个人资料——将公开显示为改为sujia——更新个人资料
2. 将昵称sujia更改为素佳——点击更新个人资料
3. 将公开显示为改为素佳
4. 刷新页面
","1. 右上角显示嗨，sujia
2. 昵称更改为素佳，并返回提示信息：个人资料已更新
3. 右上角显示嗨，素佳
4. 右上角显示嗨，sujia
",通过,史素佳,2018/11/28,2018/12/5
9397,WordPress(#13),外观(#288),更换已安装主题,位于外观栏下，主题栏界面,"1. 直接更换主题
1.1. 选择已安装主题的启用按钮
2. 搜索主题并更改
2.1. 点击搜索框
2.2. 在搜索框中输入指定主题名称
2.3. 点击启用按钮
","1. 主题变化
1.1. 主题变化
2. 
2.1. 
2.2. 筛选出符合条件的主题
2.3. 主题变化
",通过,沈梦琪,2018/11/28,2018/12/4
9391,WordPress(#13),文章模块(#273),测试文章分类标签,登录成功，进入文章模块,"1. 点击全部
2. 点击已发布
3. 点击草稿
4. 点击垃圾箱
","1. 下方展示所有已发布的文章和草稿
2. 下方展示已发布的文章
3. 下方展示草稿
4. 下方展示垃圾箱里的文章
",通过,刘江,2018/11/28,2018/12/5
9328,WordPress(#13),外观(#288),添加本地的未安装主题,位于外观栏下，主题栏界面,"1. 添加正确的自定义主题
1.1. 添加添加按钮
1.2. 点击上传主题按钮
1.3. 点击选择文件
1.4. 选中要添加文件
1.5. 点击现在安装按钮
1.6. 点击启用
2. 添加类型错误的文件
2.1. 添加添加按钮
2.2. 点击上传主题按钮
2.3. 点击选择文件
2.4. 选中不符合要求格式的文件（如：.png格式）
2.5. 点击现在安装按钮
3. 添加大小过大的文件
3.1. 添加添加按钮
3.2. 点击上传主题按钮
3.3. 点击选择文件
3.4. 选中大于32M的文件
3.5. 点击现在安装按钮
","1. 
1.1. 页面跳转至添加主题页面
1.2. 
1.3. 弹出本地选择文件界面
1.4. 
1.5. 
1.6. 主题变化
2. 
2.1. 页面跳转至添加主题页面
2.2. 
2.3. 弹出本地选择文件界面
2.4. 
2.5. 提示主题格式错误
3. 
3.1. 页面跳转至添加主题页面
3.2. 
3.3. 弹出本地选择文件界面
3.4. 
3.5. 提示文件过大，上传失败
",通过,沈梦琪,2018/11/28,2018/12/11
9326,WordPress(#13),仪表盘模块(#272),验证近期评论下能否对评论操作,登录成功，点击仪表盘，近期评论下至少有一条评论,"1. 鼠标滑到要操作的评论上，点击驳回
2. 鼠标滑到要操作的评论上，点击回复
3. 鼠标滑到要操作的评论上，点击编辑
4. 鼠标滑到要操作的评论上，点击垃圾评论
5. 鼠标滑到要操作的评论上，点击移至回收站
6. 鼠标滑到要操作的评论上，点击查看
","1. 评论状态将变为待审核状态，待审评论加一
2. 评论下方将出现回复评论框
3. 调到编辑评论界面
4. 该评论状态变为垃圾评论，垃圾评论加一
5. 该评论移动到回收箱，回收箱加一
6. 跳转到该文章界面
",通过,刘江,2018/11/28,2018/12/11
9325,WordPress(#13),用户模块(#229), 验证用户角色的筛选功能,已登录，用户角色为管理员身份,"1. 点击用户——点击全部
2. 点击用户——点击管理员
3. 点击用户——点击作者
4. 点击用户——点击订阅者
5. 点击用户——点击添加用户——输入用户名12345——输入电子邮箱12345@qq.com——将角色更改为作者——点击添加用户
6. 点击用户——点击1个角色为订阅者的用户前边的选择框——将角色变更为作者——点击更改
","1. 显示所有用户
2. 显示所有角色为管理员的用户
3. 显示所有角色为作者的用户
4. 显示所有角色为订阅者的用户
5. 页面跳转到所有用户页面，角色为作者的数量增加1，并返回提示信息：新用户已创建。编辑用户
6. 页面刷新，角色为作者的数量增加1，角色为订阅者的数量减1，并返回信息：角色已改变。
",通过,史素佳,2018/11/28,2018/12/5
9296,WordPress(#13),用户模块(#229),验证编辑用户的更改密码功能,已登录，登录用户角色为管理员,"1. 点击用户——鼠标滑过当前登录的用户所在的行——点击编辑——点击生成密码——更改密码为admin——点击确认使用弱密码——点击更新个人资料——登出——使用旧密码登录
2. 点击用户——鼠标滑过当前登录的用户所在的行——点击编辑——点击生成密码——更改密码为admin——点击确认使用弱密码——点击更新个人资料——登出——使用新的密码登录
3. 点击用户——鼠标滑过非当前登录用户12所在行——点击编辑——点击生成密码——更改密码为123——点击确认使用弱密码——点击更新用户——登出——输入用户名12，密码123——点击登录
4. 点击用户——鼠标滑过非当前登录用户12所在行——点击编辑——点击生成密码——更改密码为123——点击确认使用弱密码——点击更新用户——登出——输入用户名12，密码12——点击登录
","1. 提示更新用户成功
登录失败，显示错误信息：为用户名admin指定的密码不正确。
2. 提示更新用户成功
登录成功，跳转到WordPress首页。
3. 提示更新用户成功
登录成功，跳转到WordPress首页。
4. 提示更新用户成功
登录失败，显示错误信息：为用户名admin指定的密码不正确。
",通过,史素佳,2018/11/27,2018/12/5
9295,WordPress(#13),用户模块(#229),验证编辑用户中的语言功能,已登录，用户角色为管理员,"1. 点击用户——鼠标滑过当前登录用户所在行——点击编辑——将语言更改为English（United States）——点击更新个人资料
2. 点击用户——鼠标滑过当前登录用户所在行——点击编辑——将语言更改为简体中文——点击更新个人资料
","1. 语言变为English
2. 语言变为简体中文
",通过,史素佳,2018/11/27,2018/12/5
9294,WordPress(#13),用户模块(#229),验证编辑用户的管理界面配色方案功能,已登录，用户角色为管理员,"1. 点击用户——鼠标滑过当前登录用户admin——点击编辑——将管理界面配色方案更改为明亮——点击更新个人资料——刷新页面
2. 点击用户——鼠标滑过当前登录用户admin——点击编辑———将管理界面配色方案更改为咖啡——不点击更新个人资料
3. 刷新页面
","1. 界面配色变为明亮色
2. 界面配色变为咖啡色
3. 界面配色变为明亮色
",通过,史素佳,2018/11/27,2018/12/11
9292,WordPress(#13),用户模块(#229),验证删除用户的功能,已登录，用户角色为管理员，进入用户界面,"1. 删除当前未登录的用户
1.1. 鼠标滑过用户123456（角色为管理员）——点击删除——点击修改内容作者——点击确认删除
1.2. 鼠标滑过用户12345（角色为作者）——点击删除——点击修改内容作者——点击确认删除
1.3. 鼠标滑过用户12（角色为投稿者）——点击删除——点击确认删除
1.4. 选中3个用户用户（不包括当前登录用户）——将批量修改选择为删除——点击应用——点击删除——点击修改内容作者——点击确认删除
2. 删除当前登录的用户
2.1. 点击当前登录用户admin前边的选择框——将批量修改选择为删除——点击应用
2.2. 选中3用户（包含当前登录用户）——将批量修改选择为删除——点击应用——点击修改内容作者——点击确认删除
","1. 删除用户成功
1.1. 返回信息：用户已删除
1.2. 返回信息：用户已删除
1.3. 返回信息：用户已删除
1.4. 返回信息：已删除3个用户。
2. 
2.1. 返回提示信息：您已指定删除此用户：
ID #1：admin当前用户不会被删除。
没有可供删除的有效用户。
2.2. 提示当前用户不会被删除，点击确认删除后返回信息：已删除2个用户。
",通过,史素佳,2018/11/27,2018/12/11
9291,WordPress(#13),用户模块(#229),验证非管理员身份是否有添加用户的权限,已登录，当前登录用户身份为非管理员,"1. 输入用户名：1234
输入密码：1234
点击登录
","1. 登录后没有添加用户的权限
",通过,史素佳,2018/11/27,0000-00-00
9280,WordPress(#13),用户模块(#229),验证是否可以更改系统管理员身份,管理员身份已登录,"1. 点击用户下的所有用户，选中admin，将用户角色更改为编辑，点击更改
","1. 更改失败，提示信息：当前用户角色必须有用户编辑权。
",通过,史素佳,2018/11/27,2018/12/11
9279,WordPress(#13),登录模块(#228),验证忘记密码功能是否可用,进入http://localhost:8032/wordpress/wp-login.php,"1. 输入用户名，点击忘记密码
2. 输入用户名：admin，点击获取新密码
3. 输入已注册的邮箱：lovelysujia@126.com，点击获取新密码
4. 输入未注册的用户名aaaa
5. 输入未注册的邮箱地址6789@qq.com
","1. 跳转到新的页面，显示提示信息：请输入您的用户名或电子邮箱地址。您会收到一封包含创建新密码链接的电子邮件。
2. 返回信息：发送电子邮件成功
3. 返回信息：发送电子邮件成功
4. 内容框抖动，并显示提示信息：错误：无效的用户名或电子邮件地址。
5. 内容框抖动，并显示提示信息：错误：未能通过电子邮件地址找到用户。
",通过,史素佳,2018/11/27,2018/12/5
9278,WordPress(#13),登录模块(#228),验证密码前输入空格是否可以登录,进入http://localhost:8039/wordpress/wp-login.php，输入的用户名和密码正确,"1. 输入用户名：1234
输入密码：（空格空格）1234
点击登录
","1. 登录成功，跳转到WordPress首页
",通过,史素佳,2018/11/27,0000-00-00
9240,WordPress(#13),内容发布模块(#257),验证刚刚移入回收站的页面是否能撤销,"1.已经成功登录，并进入仪表盘界面
2. 点击左侧菜单栏中的“页面”
3.鼠标移至所选页面的名称处
4.点击所选页面下方出现的红色字体“移至回收站”
5.页面上方出现文本框：“已移动1篇文章到回收站。 撤销”","1. 1.点击“撤销”

","1. 1. 页面上方出现文本框：“1篇文章已从回收站中恢复。”
2.已移入回收站的页面恢复至原位置
",通过,韦士杰,2018/11/27,2018/12/5
9239,WordPress(#13),内容发布模块(#257),验证页面能否成功移入回收站,1.已经成功登录，并进入仪表盘界面,"1. 1. 点击左侧菜单栏中的“页面”
2.鼠标移至所选页面的名称处
3.点击所选页面下方出现的红色字体“移至回收站”
","1. 1. 页面上方出现文本框：“已移动1篇文章到回收站。 撤销”
",通过,韦士杰,2018/11/27,0000-00-00
9238,WordPress(#13),内容发布模块(#257),检验媒体库单次上传文件的最大上传限制,"1.已经成功登录，并进入仪表盘界面
","1. 1. 点击左侧菜单栏中的“媒体”，再点击“媒体”下拉菜单中的“添加”按钮

2. 点击“选择文件”按键
3. 点击16MB的“abc.mp4文件”，点击“打开”按键
4. 点击“选择文件”按键
5. 点击32MB的“bbc.mp4”文件，点击“打开”按键
6. 点击“选择文件”按键
7. 点击准备好的大于32MB的“盲课.mp4”文件，点击“打开”按键
","1. 进入“上传新媒体文件”界面
2. 进入本地我的文档界面
3. 上传成功
4. 进入本地我的文档界面
5. 上传成功
6. 进入本地我的文档界面
7. 上传文件失败；返回信息：“盲课.mp4超过了站点的最大上传限制。”
",通过,韦士杰,2018/11/27,2018/12/5
9237,WordPress(#13),内容发布模块(#257),验证是否成功上传文件到媒体库,1.已经成功登录，并进入仪表盘界面,"1. 1. 点击左侧菜单栏中的“媒体”，再点击“媒体”下拉菜单中的“添加”按钮
2. 点击“选择文件”按键
3. 点击文件大小小于32MB的“111.jpg”文件，再点击“打开”按键
4. 点击“选择文件”按键
5. 点击文件大小小于32MB的“文档.docx”文件，再点击“打开”按键
6. 点击“选择文件”按键
7. 点击文件大小小于32MB的“幻灯片.pptx”文件，再点击“打开”按键
8. 点击“选择文件”按键
9. 点击文件大小小于32MB的“2333.mp4”文件，再点击“打开”按键
","1. 进入“上传新媒体文件”界面
2. 进入本地我的文档界面
3. 上传成功
4. 进入本地我的文档界面
5. 上传成功
6. 进入本地我的文档界面
7. 上传成功
8. 进入本地我的文档界面
9. 上传成功
",通过,韦士杰,2018/11/27,2018/12/5
9236,WordPress(#13),菜单定义模块(#259),验证菜单栏链接是否有效,已经成功登录，并进入仪表盘界面,"1. 1. 点击左侧菜单栏中的“文章”，再点击“文章”下拉菜单中的“写文章”按钮

2. 1. 点击左侧菜单栏中的“文章”，再点击“文章”下拉菜单中的“分类目录”按钮
3. 1. 点击左侧菜单栏中的“文章”，再点击“文章”下拉菜单中的“标签”按钮
4. 1. 点击左侧菜单栏中的“文章”，再点击“文章”下拉菜单中的“所有文章”按钮

","1. 1. 成功进入编辑文章界面
2.光标停留在“添加标题”文本框内

2. 1. 成功进入分类目录界面
2.光标停留在“名称”下方的文本框内
3. 1. 成功进入标签界面
2.光标停留在“名称”下方的文本框内
4. 1. 成功进入文章界面
2.界面内显示所有的文章及具体信息

",通过,韦士杰,2018/11/27,0000-00-00
9202,WordPress(#13),登录模块(#255),验证用户名前有空格是否能登录,已经打开用户登录界面,"1. 1. 先在用户名栏前输入一个空格，再输入正确的用户名（如：weishijie）
2.输入正确的密码（如：******）
","1. 1. 登录成功
2.进入仪表盘界面
",通过,韦士杰,2018/11/27,0000-00-00
9201,WordPress(#13),登录模块(#255),验证“忘记密码”功能,已经打开用户登录界面,"1. 1. 在页面下方点击“忘记密码？”
2. 在文本框中输入“weishijie”，点击“获取新密码”
3. 后退，返回上一界面
4. 在文本框中输入“827848183@qq.com”，点击“获取新密码”
","1. 进入“忘记密码”界面
2. 电子邮件未能发送。
可能原因：您的主机禁用了mail()函数。
3. 返回“忘记密码”页面
4. 电子邮件未能发送。
可能原因：您的主机禁用了mail()函数。
",通过,韦士杰,2018/11/27,2018/12/5
9200,WordPress(#13),登录模块(#255),登录成功,已经打开用户登录界面,"1. 1. 输入正确的用户名（如：weishijie）
2.输入正确的密码（如：******）
3,点击“登录”按键
","1. 1. 登录成功
2.进入仪表盘界面
",通过,韦士杰,2018/11/27,2018/12/5
9199,WordPress(#13),登录模块(#255),密码错误，登录失败,已经打开用户登录界面,"1. 1. 输入正确的用户名（如：weishijie）
2.输入错误的密码（如3213123）
3.点击“登录”按键
","1. 1. “登录框”抖动
2.用户名保留，密码清空
2.用户名和密码栏上方出现一个新提示框显示（错误：为用户名weishijie指定的密码不正确。 忘记密码？）
",通过,韦士杰,2018/11/27,2018/12/5
9198,WordPress(#13),登录模块(#255),用户名为空，登录失败,已经打开用户登录界面,"1. 1. 用户名为空
2.输入正确的密码（如********）
3.点击“登录”按键
","1. 1. “登录框”抖动
2.密码清空
2.用户名和密码栏上方出现一个新提示框显示（错误用户名一栏为空。）
",通过,韦士杰,2018/11/27,2018/12/5
9197,WordPress(#13),登录模块(#255),密码为空，登录失败,已经打开用户登录界面,"1. 1. 输入正确的用户名（如：weishijie）
2.密码为空
","1. 1. 页面抖动
2.用户名保留
2.用户名和密码栏上方出现一个新提示框显示（错误:密码一栏为空。）
",通过,韦士杰,2018/11/27,0000-00-00
9196,WordPress(#13),登录模块(#255),不输入用户名和密码，登录失败,已经打开用户登录界面,"1. 不输入用户名和密码（均为空格）
","1. 页面重新刷新
",通过,韦士杰,2018/11/27,0000-00-00
8985,WordPress(#13),文章内容模块(#242),文章界面上部分链接能否正常链接,进入文章界面,"1. 点击上方的“全部”链接
2. 点击上方的“已发布”链接
3. 点击上方的“草稿”链接
4. 点击上方的“回收站”链接
","1. 显示全部文章标题
2. 显示状态为“已发布”的文章标题
3. 显示草稿中的文章标题
4. 显示回收站中的文章标题
",通过,杨天莹,2018/11/27,0000-00-00
8983,WordPress(#13),外观(#288),激活已安装主题,位于主题栏下，自定义页面，被激活主题已安装,"1. 点击激活主题框中更改按钮
2. 点击被选中主题的实时预览
3. 点击激活并发布按钮
","1. 页面跳转至主题浏览页面
2. 
3. 主题更改
",通过,沈梦琪,2018/11/27,2018/12/4
